;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;
1;5000.01;5000;5000.31;5000.79;5000.32;5000.01;5000.51;5001.12;5000.09;5000.01;5000.95;5000.32;5000.16;5000.04;5001.04;5000.08;5000.69;5001.02;5000.02;
2;5000.16;1514.23;883.901;2070.58;2539.19;1975.96;3429.79;4053.79;4564.11;5000.47;5002.4;5001.47;5001.73;5000.1;5001.56;5001.43;5002.47;5000.02;5000.03;
3;1313.14;43.2685;18.507;106.364;611.758;1749.87;976.861;2273.84;2524.04;3764.13;4661.02;4892.8;4878.29;5000.03;4727.15;5000.56;5001.75;5000.04;5000.06;
4;522.723;173.682;68.0712;25.7768;622.999;1266.96;2429;2519.84;1546.63;4075.85;4943.22;3890.39;4992.13;4985.7;5000.06;5000.68;5000.03;5000.23;5000.03;
5;36.4172;15.6569;18.2555;80.0368;597.476;1100.62;2319.3;1621.68;3933.46;4921.12;3295.66;3798.98;4090.8;5002.44;4391.6;4689.12;4650.48;4827.17;5000.05;
6;19.0466;13.1677;18.1205;25.0709;102.321;863.778;1996.83;2883.89;3562.12;3287.76;4248.52;5001.07;4249.82;4736.07;5001.37;4549.26;5000.09;5000.04;5000.06;
7;22.0236;15.685;16.0565;22.0853;482.062;152.621;2676.99;3173.45;2345.7;2638.86;4136.17;4379.24;4384.66;4007.31;4899.99;4742.68;4800.68;5000.11;5000.08;
8;19.2741;11.2798;39.5476;18.7107;74.3356;813.789;1945.98;1871.49;3944.86;3834.09;4121.39;3754.61;4560.21;5000.05;5001.52;4733.89;4152;3880.97;4712.98;
9;28.6112;11.0424;19.452;75.1918;182.151;608.379;1210.48;1759.84;3619.22;3334.19;4115.72;4546.7;5000.15;3600.02;2102.21;3834.29;3753.1;3498.16;4645.95;
10;16.6368;13.4886;125.719;109.752;216.345;579.21;1625.83;3203.6;4553.89;4079.62;2095.92;2850.41;2061.61;1128.2;2801.48;3306.3;4208.58;3726.64;2887.35;
11;18.8698;20.1531;20.7907;39.2701;388.74;1065.23;2847.02;3370.01;3956.35;648.471;1499.08;1532.85;2543.23;3192.41;3111.13;3769.22;4131.05;1828.25;3562.77;
12;584.687;13.1636;17.83;664.435;798.36;658.546;1772.32;70.697;195.526;1034.68;1731.8;3198.67;3156.96;1485.13;2126.9;2747.47;2871.07;1578.94;3358.72;
13;11.5315;20.0203;534.833;118.119;782.156;741.263;56.4518;782.185;470.54;277.995;1463.05;1852.18;733.262;2154.65;2866.92;4547.94;2825.34;2863.1;4556.9;
14;18.0383;152.97;539.438;438.009;783.247;1128.68;41.5146;776.87;622.629;177.892;253.225;233.134;1241.52;1792.7;1581.22;2384.35;3400.41;2745.22;2455.05;
15;19.2748;45.4328;611.28;1076.16;1617.08;134.196;132.376;479.275;276.917;364.824;171.208;2456.77;1396.12;560.296;759.487;1864.37;2836.93;1895.43;2378.57;
16;17.8147;147.607;208.908;416.016;67.0088;159.778;130.279;395.246;648.23;815.915;2230.86;601.257;2275.34;2221.6;883.488;1130.81;2464.35;2095.72;2707.93;
17;26.143;407.823;639.789;178.988;49.0532;95.2151;68.6835;122.463;686.116;514.509;1232.82;1162.4;1392.29;1816.13;2671.14;2177.04;1769.23;2060.82;1743.1;
18;521.15;230.175;404.189;1054.74;590.147;53.901;69.989;613.568;96.4033;300.271;1091.47;612.49;312.166;1457.26;1551.64;1677.26;1234.61;1954.76;3251.77;
19;28.4164;605.629;916.937;165.665;72.6016;250.546;265.476;260.894;170.219;352.29;586.021;1830.82;744.027;685.863;814.188;1544.91;1667.92;2138.21;1334.98;

