width;time GPU self ms;time GPU cuda example ms;time CPU ms;Memory throughput GPU self bytes/s;Memory throughput GPU example bytes/s;Memory throughput CPU bytes/s;
32;0.068125;0.038500;0.000000;60124770.642202;106389610.389610;0.000000
1056;0.209375;0.108100;0.000000;21304090746.268654;41263126734.505089;0.000000
2080;0.817825;0.187150;0.000000;21160517225.567818;92469142399.145081;0.000000
3104;1.351550;0.367550;0.000000;28514863675.039768;104854479662.630936;0.000000
4128;1.188950;0.507150;0.000000;57329186256.781197;134401135758.651291;0.000000
5152;1.311900;0.914700;0.000000;80930266026.373962;116073484202.470764;0.000000
6176;1.446175;1.150150;0.000000;105500305288.087540;132653918184.584625;0.000000
7200;1.662800;1.616150;0.000000;124705316333.894638;128304922191.628250;0.000000
8224;1.843550;2.001200;0.000000;146747690054.514404;135187239656.206284;0.000000
9248;3.451300;2.962525;0.000000;99122654072.378525;115476499270.048340;0.000000
10272;4.273825;3.558400;0.000000;98753677560.499069;118608345323.741013;0.000000
11296;2.471875;4.657300;0.000000;206482311605.562592;109591064350.589386;0.000000
12320;2.634675;5.810900;0.000000;230438137531.194580;104481164707.704498;0.000000
13344;2.740200;6.737725;0.000000;259926043354.499695;105710658122.734299;0.000000
14368;3.034375;7.994150;0.000000;272134359134.912476;103295246649.112167;0.000000
15392;3.472575;9.993650;0.000000;272896814611.635468;94825679906.740768;0.000000
16416;3.866675;11.421875;0.000000;278777043325.337708;94375067491.108078;0.000000
17440;3.600025;13.605700;0.000000;337946097596.544495;89419463901.159088;0.000000
18464;3.780275;14.758650;0.000000;360734915846.069397;92398504199.232300;0.000000
19488;4.000175;17.819750;0.000000;379765529258.094910;85249713155.347305;0.000000
